Node,Degree,Community,Value,Count,Column
,,,Yellow,2.0,Hair
,,,Amber,2.0,Eyes
,,,Black,2.0,Eyes
,,,Black/Green,1.0,Eyes
,,,Blue,234.0,Eyes
,,,Brown,214.0,Eyes
,,,Deep,8.0,Eyes
,,,Deep Blue,7.0,Eyes
,,,Deep Brown,1.0,Eyes
,,,Gray,7.0,Eyes
,,,Green,85.0,Eyes
,,,Hazel,2.0,Eyes
,,,Light Blue,10.0,Eyes
,,,Light Brown,13.0,Eyes
,,,Light Green,5.0,Eyes
,,,Light Teal,3.0,Eyes
,,,Multicolor,1.0,Eyes
,,,Multicolor,1.0,Hair
,,,Pink,1.0,Eyes
,,,Purple,18.0,Eyes
,,,Teal,8.0,Eyes
,,,Yellow/Blue,1.0,Eyes
,,,Black,5.0,Hair
,,,Blonde,155.0,Hair
,,,Blonde/Blue,2.0,Hair
,,,Blonde/Pink,5.0,Hair
,,,Blue,14.0,Hair
,,,Blue/Pink,3.0,Hair
,,,Blue/Silver,1.0,Hair
,,,Blue/Yellow,1.0,Hair
,,,Brown,166.0,Hair
,,,Brown/Blonde,1.0,Hair
,,,Brown/Blue,2.0,Hair
,,,Brown/Pink,2.0,Hair
,,,Brown/Purple,4.0,Hair
,,,Dark,41.0,Hair
,,,Dark Blonde,3.0,Hair
,,,Dark Blue,1.0,Hair
,,,Dark Brown,24.0,Hair
,,,Dark Brown/Pink,1.0,Hair
,,,Dark Gray,11.0,Hair
,,,Dark Pink,1.0,Hair
,,,Dark Red,3.0,Hair
,,,Dark/Blue,1.0,Hair
,,,Dark/Gray,1.0,Hair
,,,Dark/White,1.0,Hair
,,,Deep Brown,2.0,Hair
,,,Gray,35.0,Hair
,,,Gray/White,1.0,Hair
,,,Green,9.0,Hair
,,,Hazel,1.0,Hair
,,,Light Blonde,7.0,Hair
,,,Light Brown,10.0,Hair
,,,Light Gray,9.0,Hair
,,,Light Gray/White,1.0,Hair
,,,Medium Brown,1.0,Hair
,,,Orange,7.0,Hair
,,,Pale Blonde,1.0,Hair
,,,Pink,21.0,Hair
,,,Pink/Blue,1.0,Hair
,,,Platinum Blonde,3.0,Hair
,,,Purple,19.0,Hair
,,,Purple/Orange,1.0,Hair
,,,Purple/Yellow,2.0,Hair
,,,Rainbow,2.0,Hair
,,,Red,3.0,Hair
,,,Red/Cyan,1.0,Hair
,,,Red/Orange,1.0,Hair
,,,Redhair,21.0,Hair
,,,Silver,3.0,Hair
,,,Strawberry Blonde,2.0,Hair
,,,Violet/Pink,1.0,Hair
,,,White,8.0,Hair
,,,White/Gray,1.0,Hair
,,,Female,417.0,Gender
,,,Male,209.0,Gender
